pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_orbsmax,st_teff,st_met,star_A,star_A8 V,star_F,star_F V,star_F0,star_F1 V,star_F2,star_F2 V,star_F3 V,star_F4,star_F4 V,star_F5,star_F5 IV,star_F5 V,star_F6,star_F6 IV,star_F6 IV-V,star_F6 V,star_F7,star_F7 V,star_F8,star_F8 V,star_F9,star_F9 IV,star_F9 V,star_F9-F9.5,star_F9/G0,star_G,star_G V,star_G0,star_G0 V,star_G0 VI,star_G1,star_G1 V,star_G2,star_G2 IV,star_G2 V,star_G3,star_G3 IV,star_G3 V,star_G4,star_G4 V,star_G5,star_G5 V,star_G6,star_G6 V,star_G7,star_G7 IV/V,star_G7 V,star_G8,star_G8 IV/V,star_G8 V,star_G9,star_G9 IV,star_G9 V,star_K,star_K V,star_K0,star_K0 IV,star_K0 V,star_K0.0 V,star_K1,star_K1 V,star_K1-K2,star_K1.5+/-1,star_K2,star_K2 V,star_K2.5 V,star_K2V,star_K3,star_K3 V,star_K3.5 V,star_K4,star_K4 V,star_K4.5,star_K5,star_K5 V,star_K6,star_K6 V,star_K6-K7,star_K7,star_K7 V,star_K8 V,star_K9 V/M0 V,star_M,star_M V,star_M(6.1 +/- 0.7) V,star_M0,star_M0 V,star_M0.0 V,star_M0.5,star_M0.5 V,star_M1,star_M1 V,star_M1.0 V,star_M1.0+/-0.5,star_M1.5 V,star_M2,star_M2 V,star_M2.0 V,star_M2.5 V,star_M2.65 V,star_M3,star_M3 V,star_M3+/-1,star_M3.0 V,star_M3.5 +/- 1.0,star_M3.5 V,star_M4,star_M4 &#177 0.5 V,star_M4 +/- 0.5,star_M4 V,star_M4+/-0.5,star_M4.0,star_M4.5 V,star_M4.5+/-0.5,star_M5 V,star_M5.0,star_M5V,star_M6 V,star_m3 V,pl_rade_norm,pl_eqt_norm,pl_orbsmax_norm,habitability_index,star_temp_score,star_met_score,stellar_compatibility_index,habitability_class,predicted_habitability_score
2.078,5.11,501.0,10.0546535,0.0747,3844.0,-0.157,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0744974570113829,0.10241502683363148,0.642723880597015,0.8006902303425913,0.7421333333333333,0.698076923076923,0.7245107692307692,1,0.9892082933540868
3.309,9.2,531.0,3.348237,0.029322,3297.0,-0.31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.1341244853475418,0.11583184257602862,0.2194216417910448,0.8561331404723629,0.6692,0.40384615384615385,0.5630584615384615,1,0.9889492899985994
1.24,1.45,771.0,3.64823,0.0429,4219.0,-0.29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.03390651489464762,0.22316636851520572,0.3460820895522388,0.8279544287256111,0.7921333333333334,0.4423076923076924,0.6522030769230769,1,0.9889472953294319
1.13,1.86,716.0,3.648103,0.0395,4236.0,-0.29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.02857834826834584,0.1985688729874776,0.3143656716417911,0.8462679771693125,0.7944,0.4423076923076924,0.6535630769230769,1,0.9889472953294319
0.85,0.4,627.0,2.2531136,0.02191,3415.0,-0.46,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.015015742310486798,0.15876565295169942,0.15027985074626868,0.9004314717458719,0.6849333333333334,0.11538461538461542,0.4571138461538462,1,0.9887720549929659
0.8,1.01,610.0,2.2531,0.02282,3412.0,-0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.012593848389440544,0.1511627906976744,0.15876865671641793,0.9027436130218705,0.6845333333333333,0.03846153846153855,0.4261046153846154,1,0.9887720549929659
2.572,3.01,690.0,6.5577,0.0592,4316.0,-0.23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.09842576895131995,0.18694096601073346,0.498134328358209,0.786226440343537,0.8050666666666667,0.5576923076923077,0.7061169230769231,1,0.988702252201055
2.52,5.4,435.0,7.44628,0.0534,3422.0,-0.19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.09590699927343184,0.07289803220035777,0.4440298507462687,0.8436720172612304,0.6858666666666666,0.6346153846153846,0.6653661538461537,1,0.9885986707915523
2.13,2.88,354.0,18.801611,0.1047,3618.0,-0.195,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.07701622668927101,0.036672629695885514,0.9225746268656717,0.7700095320728031,0.712,0.625,0.6772,1,0.9885456623622222
2.207,3.86,600.0,9.961881,0.0783,4316.0,-0.23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.08074594332768224,0.146690518783542,0.6763059701492538,0.7737642211256597,0.8050666666666667,0.5576923076923077,0.7061169230769231,1,0.9883057772026138
2.02,5.3,415.0,15.6653,0.1,3709.0,-0.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.07168806006296925,0.06395348837209301,0.8787313432835823,0.7699971119692588,0.7241333333333333,0.6153846153846154,0.6806338461538461,1,0.9883052777468375
