planet_name,host_star,sy_snum,sy_pnum,discovery_method,discovery_year,disc_facility,pl_controv_flag,orbital_period_days,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,orbit_distance_au,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,planet_radius_earth,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,planet_mass_earth,pl_bmasselim,pl_bmassj,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenlim,pl_insol,pl_insollim,planet_temperature_k,pl_eqtlim,ttv_flag,star_temperature_k,st_tefferr1,st_tefferr2,st_tefflim,star_radius_solar,st_raderr1,st_raderr2,st_radlim,star_mass_solar,st_masserr1,st_masserr2,st_masslim,star_metallicity,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,distance_pc,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
HD 103197 b,HD 103197,1,1,Radial Velocity,2009,La Silla Observatory,0,47.84,0.03,-0.03,0.0,0.25,0.0,0.0,0.0,5.83,0.5204222055080471,-0.41654905667787656,0.0,0.52,0.04643288487148691,-0.037166464244535194,0.0,28.6047,0.0,0.09,0.0,Msini,0.0,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,5250.0,84.0,-84.0,0.0,0.88,0.03,-0.03,0.0,0.8,0.28,-0.28,0.0,0.22,0.09720361307589372,-0.10304054674058499,0.0,[Fe/H],4.45,0.15,-0.15,0.0,11h52m52.85s,178.2201971,-50d17m34.05s,-50.2927911,57.1463,0.097,-0.0967,9.4,0.03,-0.03,7.426,0.027,-0.027,9.16421,0.000151,-0.000151
HD 103720 b,HD 103720,1,1,Radial Velocity,2014,La Silla Observatory,0,4.5557,0.0001,-0.0001,0.0,0.0498,0.0008,-0.0008,0.0,14.1,0.5204222055080471,-0.41654905667787656,0.0,1.26,0.04643288487148691,-0.037166464244535194,0.0,197.046,0.0,0.62,0.0,Msini,0.086,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,5017.0,88.0,-88.0,0.0,0.73,0.02,-0.02,0.0,0.794,0.04,-0.04,0.0,-0.02,0.06,-0.06,0.0,[Fe/H],4.43,0.16,-0.16,0.0,11h56m41.12s,179.1713308,-02d46m44.90s,-2.7791393,45.5352,0.1032,-0.1026,9.5,0.03,-0.03,7.283,0.024,-0.024,9.22376,0.00084,-0.00084
HD 103774 b,HD 103774,2,1,Radial Velocity,2013,La Silla Observatory,0,5.8881,0.0005,-0.0005,0.0,0.07,0.001,-0.001,0.0,13.3,0.5204222055080471,-0.41654905667787656,0.0,1.19,0.04643288487148691,-0.037166464244535194,0.0,116.0,0.0,0.367,0.0,Msini,0.09,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,6489.0,77.0,-77.0,0.0,1.581047,0.050143,-0.042346,0.0,1.335,0.03,-0.03,0.0,0.28,0.06,-0.06,0.0,[Fe/H],4.26,0.13,-0.13,0.0,11h56m55.46s,179.2310729,-12d06m28.78s,-12.1079951,56.4089,0.1785,-0.1774,7.13463,0.023,-0.023,6.0,0.02,-0.02,7.00938,0.00017,-0.00017
HD 103891 b,HD 103891,1,1,Radial Velocity,2022,La Silla Observatory,0,1919.0,14.0,-15.0,0.0,3.27,0.02,-0.01,0.0,13.2,0.5204222055080471,-0.41654905667787656,0.0,1.18,0.04643288487148691,-0.037166464244535194,0.0,918.52409623,0.0,2.89,0.0,Mass,0.31,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,6072.0,20.0,-20.0,0.0,2.22,0.05,-0.05,0.0,1.28,0.01,-0.01,0.0,-0.19,0.01,-0.01,0.0,[Fe/H],3.79,0.03,-0.03,0.0,11h57m45.19s,179.4382907,-08d32m55.03s,-8.5486195,55.5213,0.4446,-0.4378,6.59451,0.023,-0.023,5.187,0.023,-0.023,6.436,0.0004038,-0.0004038
HD 103949 b,HD 103949,1,1,Radial Velocity,2019,Las Campanas Observatory,0,120.878,0.446,-0.446,0.0,0.439,0.009,-0.009,0.0,3.35,0.5204222055080471,-0.41654905667787656,0.0,0.299,0.04643288487148691,-0.037166464244535194,0.0,11.2,0.0,0.03523896,0.0,Msini,0.19,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,4792.0,66.0,-54.0,0.0,0.753113,0.017315,-0.020466,0.0,0.77,0.04,-0.04,0.0,-0.07,0.0312,-0.0312,0.0,[M/H],4.59071,0.093844,-0.096905,0.0,11h58m11.51s,179.5479558,-23d55m26.84s,-23.9241221,26.4997,0.0538,-0.0537,8.7,0.03,-0.03,6.314,0.021,-0.021,8.38479,0.000407,-0.000407
HD 104067 b,HD 104067,1,2,Radial Velocity,2009,La Silla Observatory,0,55.851,0.017,-0.017,0.0,0.2674,0.0032,-0.0033,0.0,9.2,0.5204222055080471,-0.41654905667787656,0.0,0.82,0.04643288487148691,-0.037166464244535194,0.0,62.1,0.0,0.19538845,0.0,Msini,0.123,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,4952.0,100.0,-100.0,0.0,0.78,0.01,-0.01,0.0,0.82,0.03,-0.03,0.0,0.11,0.06,-0.06,0.0,[Fe/H],4.56,0.1,-0.1,0.0,11h59m10.17s,179.7923543,-20d21m20.18s,-20.3556058,20.3632,0.0245,-0.0244,7.92,0.03,-0.03,5.614,0.024,-0.024,7.62029,0.000199,-0.000199
HD 104067 c,HD 104067,1,2,Radial Velocity,2024,Multiple Observatories,0,13.8992,0.0047,-0.0037,0.0,0.1058,0.0013,-0.0013,0.0,3.69,0.5204222055080471,-0.41654905667787656,0.0,0.33,0.04643288487148691,-0.037166464244535194,0.0,13.2,0.0,0.04153184,0.0,Msini,0.29,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,4952.0,100.0,-100.0,0.0,0.78,0.01,-0.01,0.0,0.82,0.03,-0.03,0.0,0.11,0.06,-0.06,0.0,[Fe/H],4.56,0.1,-0.1,0.0,11h59m10.17s,179.7923543,-20d21m20.18s,-20.3556058,20.3632,0.0245,-0.0244,7.92,0.03,-0.03,5.614,0.024,-0.024,7.62029,0.000199,-0.000199
HD 10442 b,HD 10442,1,1,Radial Velocity,2014,W. M. Keck Observatory,0,1032.3,8.9,-8.9,0.0,2.01,0.12,-0.12,0.0,13.6,0.5204222055080471,-0.41654905667787656,0.0,1.21,0.04643288487148691,-0.037166464244535194,0.0,472.61321,0.0,1.487,0.0,Msini,0.132,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,4912.0,98.58479009687836,-99.35817366343738,0.0,1.97,0.19051877837354783,-0.14876385824097246,0.0,1.01,0.08504336306946128,-0.0788097895010395,0.0,0.11,0.03,-0.03,0.0,[Fe/H],3.19,0.08264654974856323,-0.09735663451867818,0.0,01h41m53.17s,25.471524,+02d42m15.91s,2.7044193,135.374,1.3395,-1.3395,7.828,0.002,-0.002,5.59,0.016,-0.016,7.57742,0.000373,-0.000373
HD 104985 b,HD 104985,1,1,Radial Velocity,2003,Okayama Astrophysical Observatory,0,199.68,0.09,-0.07,0.0,0.715,0.0,0.0,0.0,12.8,0.5204222055080471,-0.41654905667787656,0.0,1.14,0.04643288487148691,-0.037166464244535194,0.0,1766.80811451,0.0,5.559,0.0,Msini,0.047,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,4738.0,98.58479009687836,-99.35817366343738,0.0,11.12,1.23,-0.74,0.0,1.22,0.29,-0.23,0.0,-0.32,0.1,-0.1,0.0,[Fe/H],2.42,0.07,-0.06,0.0,12h05m15.79s,181.3157854,+76d54m19.21s,76.9053359,100.576,0.719,-0.719,5.79389,0.023,-0.023,3.274,0.304,-0.304,5.49698,0.0018904,-0.0018904
HD 105618 b,HD 105618,1,2,Radial Velocity,2022,Multiple Observatories,0,10.02245,0.00139,-0.00118,0.0,0.091,0.004,-0.004,0.0,5.44,0.5204222055080471,-0.41654905667787656,0.0,0.485,0.04643288487148691,-0.037166464244535194,0.0,25.42627256,0.0,0.08,0.0,Msini,0.455,0.0,423.09774895269476,0.0,915.9174236387781,0.0006640106241699867,0,5671.0,81.93,-129.83,0.0,1.27399,0.040488,-0.068869,0.0,1.01,0.129,-0.129,0.0,0.01522439775403007,0.09720361307589372,-0.10304054674058499,0.0,,4.23206,0.07599,-0.070935,0.0,12h09m36.51s,182.4021288,+11d12m41.65s,11.2115695,70.0837,0.2478,-0.2462,8.63,0.03,-0.03,7.014,0.018,-0.018,8.46692,0.000218,-0.000218
