Planet_Name,Habitabilty_Probability
Kepler-770 c,0.7461829773944356
Kepler-770 c,0.7461829773944356
Kepler-770 c,0.7461829773944356
Kepler-1561 b,0.745845263161938
Kepler-1612 b,0.7454341701655386
Kepler-1612 b,0.7454341701655386
Kepler-1612 b,0.7454341701655386
Kepler-1525 b,0.7436804676639837
Kepler-1525 b,0.7436804676639837
Kepler-1525 b,0.7436804676639837
Kepler-1998 b,0.7423533242625904
Kepler-1998 b,0.7423533242625904
Kepler-1998 b,0.7423533242625904
Kepler-1438 b,0.7423377039519272
Kepler-1438 b,0.7423377039519272
Kepler-1438 b,0.7423377039519272
Kepler-1067 b,0.7422256536055607
Kepler-1067 b,0.7422256536055607
Kepler-1067 b,0.7422256536055607
Kepler-757 b,0.7421645423989238
Kepler-757 b,0.7421645423989238
